Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
The Ocean Grill,4.0,Calangute,"Chinese, Indian",600,goa,0,150.00,450.00
Tipsy Pub,4.0,Arpora,Multicuisine,1400,goa,0,350.00,1050.00
Jungle Cafe,4.3,Sangolda,Continental,700,goa,15,280.00,420.00
Ping's Bia Hoi,4.4,Porvorim,"Beverages, Chinese, Finger Food, Thai, Pan Asian, Asian",1400,goa,15,560.00,840.00
AKRA By Saga Stays,5.0,Baga,Multicuisine,1000,goa,0,0.00,1000.00
Mama Miso,4.7,Arossim Beach,Pan Asian,2000,goa,10,700.00,1300.00
Viva Lounge,5.0,Holiday Inn Candolim Goa,Multicuisine,1500,goa,25,750.00,750.00
Uma By The Sea,5.0,Morjim,Multicuisine,2000,goa,15,800.00,1200.00
Rashmi Restro & Bar,4.0,Calangute,Multicuisine,1500,goa,0,0.00,1500.00
Cafe Mochasa,4.0,Candolim,Cafe,450,goa,0,0.00,450.00
Bloom Cafe,4.0,Bloom Boutique,Multicuisine,1200,goa,0,0.00,1200.00
The Bridge,4.0,DiVaN Clarks Inn,Multicuisine,1500,goa,0,0.00,1500.00
Taste of Bharat,4.0,Arpora,North Indian,800,goa,0,0.00,800.00
Bloom Cafe,4.0,Bloomrooms,Multicuisine,1200,goa,0,0.00,1200.00
A Reverie,3.8,Calangute Baga Road,Fusion,2000,goa,0,0.00,2000.00
Thalassa Beach Boutique Resort,4.0,Ashwem Beach,Multicuisine,4500,goa,0,0.00,4500.00
Saltamontes,4.8,Anjuna,Multicuisine,800,goa,20,360.00,440.00
Peep Kitchen,3.8,Panaji,Multicuisine,1000,goa,10,350.00,650.00
Angry Sardar,4.2,Panaji,North Indian,1200,goa,10,420.00,780.00
Maverick and Farmer Coffee,5.0,Anjuna,"Italian, Continental",1000,goa,10,350.00,650.00
Lazy Goose,4.6,Nerul,"Seafood, European, Goan",1500,goa,25,750.00,750.00
Waterfront Terrace and Bar,4.6,Goa Marriott Resort & Spa,Multicuisine,1500,goa,30,825.00,675.00
Soi,4.5,Candolim,Goan,1500,goa,15,600.00,900.00
