Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Farzi Beach,3.8,"Morjim, North Goa",Multicuisine,₹ 1500 for two approx.,25% Off
Tamil Table,4.8,"Assagao, North Goa",Tamil Nadu,₹ 1200 for two approx.,25% Off
Anar,5.0,"Anjuna, North Goa",Middle Eastern,₹ 2000 for two approx.,25% Off
Tikitii,3.9,"Morjim, North Goa",Continental,₹ 2000 for two approx.,25% Off
Guldastaa Cafe,4.5,"Anjuna, North Goa",Regional Indian,₹ 1200 for two approx.,25% Off
Ederra Cafe,5.0,"Panaji, North Goa",Cafe,₹ 800 for two approx.,25% Off
Backyard Restaurant & Bar,5.0,"Calangute, North Goa",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Ole Bar,4.0,"Morjim, North Goa",Multicuisine,₹ 1500 for two approx.,25% Off
One Calangute,3.8,"Calangute, North Goa",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Tom's Resto By The Beach,5.0,"Calangute, North Goa",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Delhi Darbar,4.6,"Candolim, North Goa",North Indian,₹ 800 for two approx.,10% Off + 25% Off
BunnyKins Cafe,4.0,"Calangute, North Goa",Multicuisine,₹ 900 for two approx.,10% Off + 25% Off
Bharat Bar & Restaurant,4.0,"Baga, North Goa",Multicuisine,₹ 800 for two approx.,25% Off + 25% Off
Novu Rooftop Dining,4.7,"Fort Aguada Rd, Candolim, North Goa",Multicuisine,₹ 1200 for two approx.,50% Off + 25% Off
GROK,4.2,Hyatt Centric Candolim Goa,Goan,₹ 1200 for two approx.,35% Off + 25% Off
Bloom Cafe,4.0,"Bloom Hotel ,Calangute",Multicuisine,₹ 1200 for two approx.,25% Off :Payeazy
Cafe Fika,5.0,"Panaji, North Goa",Cafe,₹ 1000 for two approx.,30% Off + 25% Off
Beans & Bistro,4.0,"Calangute, North Goa","Cafe, Coffee",₹ 400 for two approx.,10% Off + 25% Off
Oceana Restaurant,4.0,"Calangute, North Goa","Indian, Continental",₹ 1000 for two approx.,10% Off + 25% Off
Jazz Bistro,4.7,"Calangute Baga Road, Goa",Multicuisine,₹ 1000 for two approx.,Free Cocktail or Mocktail + 25% Off
Krishna Bar & Restaurant,4.0,"Calangute, North Goa",Multicuisine,₹ 550 for two approx.,25% Off :Payeazy
Spice It,5.0,"ibis, Calangute, Goa  | View All(2) Outlets",Multicuisine,₹ 1000 for two approx.,50% Off + 25% Off
Purple Martini,4.1,"Anjuna, North Goa",Multicuisine,₹ 2500 for two approx.,25% Off :Payeazy
Palms n Sands,4.1,"Candolim, North Goa",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Niche Bistro,5.0,"Calangute, North Goa",European,₹ 1500 for two approx.,20% Off + 25% Off
The Fisherman's Wharf,4.2,"Calangute, North Goa  | View All(3) Outlets",Goan,₹ 1100 for two approx.,25% Off :Payeazy
Kailash Parbat,4.7,"Candolim, North Goa  | View All(2) Outlets",North Indian,₹ 600 for two approx.,25% Off :Payeazy
Sizzler House,5.0,"Anjuna Vagator Road, Goa",Multicuisine,₹ 700 for two approx.,25% Off + 25% Off
Pepper Bar and Restaurant,4.0,"Le Seasons Resort, Goa",Multicuisine,₹ 1200 for two approx.,40% Off + 25% Off
You & Me,3.5,"Baga, North Goa",Multicuisine,₹ 900 for two approx.,25% Off + 25% Off
Elrow Ocean Front,2.8,"Calangute Baga Road, Goa",Asian,₹ 2000 for two approx.,25% Off + 25% Off
Saffron,4.4,"Arpora, North Goa",Multicuisine,₹ 800 for two approx.,25% Off + 25% Off
Saipe,5.0,Hilton Goa Resort,Multicuisine,₹ 2400 for two approx.,35% Off + 25% Off
Samudra Family Restaurant & Bar,5.0,"Calangute, North Goa",South Indian,₹ 500 for two approx.,10% Off + 25% Off
Bean me Up,5.0,"Vagator, North Goa",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
Hibiscus,1.0,"Arpora, North Goa",Multicuisine,₹ 1000 for two approx.,35% Off + 25% Off
Just Lobo's,4.7,"Calangute, North Goa","Goan, Multicuisine",₹ 1000 for two approx.,20% Off + 25% Off
Musuh- The Fire Place,4.0,"Calangute, North Goa",Multicuisine,₹ 600 for two approx.,30% Off + 25% Off
De Little Goa,4.0,"Calangute, North Goa",Indian,₹ 1500 for two approx.,15% Off + 25% Off
Pickled Mango,5.0,"Bardez, North Goa",Multicuisine,₹ 1600 for two approx.,25% Off + 25% Off
The Square,5.0,Novotel Goa Shrem Hotel,Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Brisa Do Mar,4.8,"Candolim, North Goa",Mediterranean,₹ 1800 for two approx.,50% Off + 25% Off
La Cucina,4.8,"Morjim, North Goa  | View All(2) Outlets",Italian,₹ 1500 for two approx.,25% Off + 25% Off
Angry Sardar Courtyard,4.5,"Anjuna, North Goa",North Indian,₹ 1200 for two approx.,15% Off + 25% Off
LOVE THE PARK,4.1,The Park Calangute Goa,Multicuisine,₹ 1200 for two approx.,35% Off + 25% Off
Deck 88,4.0,The Astor Goa,Indian Coastal Cuisine,₹ 2500 for two approx.,35% Off + 25% Off
Neighbors,4.5,"Anjuna Mapusa Assagao Road, Goa",European,₹ 1800 for two approx.,10% Off + 25% Off
The Cube,4.0,"Calangute, North Goa",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Wow! Momo,4.0,"Candolim, North Goa  | View All(10) Outlets",Momos,₹ 400 for two approx.,30% Off + 25% Off
Free 2 Fly,4.0,"Baga, North Goa",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Tribe,4.0,"Renest Calangute, Goa  | View All(2) Outlets",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Pineapple Villa By Raddish,4.0,"Arpora, North Goa",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Medallion,4.0,"Calangute, North Goa","Asian, Thai, Chinese",₹ 650 for two approx.,10% Off + 25% Off
The Palms,4.5,Radisson Goa Candolim,Multicuisine,₹ 1400 for two approx.,30% Off + 25% Off
Peace,4.4,The Park Calangute Goa,Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Biryani By Kilo,4.3,"Panaji, North Goa","Biryani, Hyderabadi, Mughlai",₹ 900 for two approx.,40% Off + 25% Off
Tereza Beach House By Sly Granny,4.3,"Nerul, North Goa",Multicuisine,₹ 1600 for two approx.,20% Off + 25% Off
Fat Fish Anjuna,4.0,"Anjuna, North Goa",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Big Fat Sandwich,5.0,"Anjuna, North Goa",Cafe,₹ 1200 for two approx.,10% Off + 25% Off
Uptown,4.2,"Candolim, North Goa",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
Café De Port By Radisson Resort Goa Baga,4.9,"Arpora, North Goa",Multicuisine,₹ 2200 for two approx.,30% Off + 25% Off
The Boho Box,2.0,"Calangute Baga Road, Goa",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Spice Mantraa,4.6,"Candolim, North Goa",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
